"","Gender","Age","Country","State","KitKAt","Skittles","Lollipop","TicTac","GumFromBaseballCards","Income","incomeCluster","ageCluster"
"58","Male",42,"USA","NEW YORK","JOY","JOY","MEH","DESPAIR","DESPAIR",57705,3,3
"59","Female",44,"USA","CALIFORNIA","JOY","JOY","JOY","JOY","DESPAIR",52651,2,3
"60","Male",44,"USA","LOUISIANA","JOY","MEH","MEH","MEH","DESPAIR",43252,1,3
"61","Male",42,"USA","COLORADO","JOY","MEH","DESPAIR","DESPAIR","DESPAIR",50410,2,3
"62","Male",47,"USA","PENNSYLVANIA","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR",49180,2,3
"63","Female",50,"USA","TEXAS","MEH","MEH","MEH","DESPAIR","DESPAIR",46745,2,3
"64","Female",39,"USA","OREGON","JOY","JOY","JOY","MEH","DESPAIR",42974,1,3
"65","Male",25,"USA","UTAH","JOY","JOY","MEH","JOY","MEH",39045,1,2
"66","Male",29,"USA","NEW YORK","MEH","JOY","DESPAIR","MEH","DESPAIR",57705,3,2
"67","Male",53,"USA","MINNESOTA","JOY","MEH","MEH","DESPAIR","DESPAIR",50541,2,4
"68","Female",22,"USA","PENNSYLVANIA","JOY","JOY","DESPAIR","MEH","DESPAIR",49180,2,2
"69","Female",50,"USA","WISCONSIN","JOY","JOY","MEH","MEH","DESPAIR",45617,2,3
"70","Female",44,"USA","WASHINGTON","JOY","JOY","MEH","DESPAIR","DESPAIR",51146,2,3
"71","Male",53,"USA","CALIFORNIA","JOY","JOY","JOY","JOY","MEH",52651,2,4
"72","Male",48,"USA","NEW YORK","MEH","JOY","DESPAIR","MEH","DESPAIR",57705,3,3
"73","Male",54,"USA","CALIFORNIA","JOY","MEH","MEH","DESPAIR","DESPAIR",52651,2,4
"74","Female",51,"USA","MINNESOTA","MEH","DESPAIR","DESPAIR","MEH","DESPAIR",50541,2,4
"75","Male",33,"USA","MINNESOTA","JOY","DESPAIR","JOY","MEH","DESPAIR",50541,2,3
"76","Male",67,"USA","NEW MEXICO","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR",38457,1,4
"77","Female",65,"USA","MAINE","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR",42077,1,4
"78","Male",48,"USA","CALIFORNIA","JOY","JOY","MEH","MEH","DESPAIR",52651,2,3
"79","Female",51,"USA","OREGON","JOY","JOY","MEH","DESPAIR","DESPAIR",42974,1,4
"80","Male",42,"USA","MICHIGAN","JOY","JOY","MEH","DESPAIR","DESPAIR",42427,1,3
"81","Female",37,"USA","WASHINGTON","JOY","JOY","DESPAIR","DESPAIR","DESPAIR",51146,2,3
"82","Female",43,"USA","MINNESOTA","JOY","JOY","JOY","MEH","DESPAIR",50541,2,3
"83","Male",53,"USA","MISSOURI","JOY","JOY","MEH","DESPAIR","DESPAIR",42752,1,4
